facility_id,facility_name,month,visitors,revenue_kpy,operating_cost_kpy,operating_profit_kpy
FAC-003,みしま未来研究所,2023-07,1735,948,3189,-2241
FAC-003,みしま未来研究所,2023-08,1876,865,3173,-2308
FAC-003,みしま未来研究所,2023-09,2209,1209,3241,-2032
FAC-003,みしま未来研究所,2023-10,1743,929,3185,-2256
FAC-003,みしま未来研究所,2023-11,1863,896,3179,-2283
FAC-003,みしま未来研究所,2023-12,2388,1205,3241,-2036
FAC-003,みしま未来研究所,2024-01,2328,1222,3244,-2022
FAC-003,みしま未来研究所,2024-02,1921,957,3191,-2234
FAC-003,みしま未来研究所,2024-03,1938,993,3198,-2205
FAC-003,みしま未来研究所,2024-04,1623,777,3155,-2378
FAC-003,みしま未来研究所,2024-05,2368,1229,3245,-2016
FAC-003,みしま未来研究所,2024-06,1929,939,3187,-2248
FAC-003,みしま未来研究所,2024-07,1940,914,3182,-2268
FAC-003,みしま未来研究所,2024-08,2055,1119,3223,-2104
FAC-003,みしま未来研究所,2024-09,1892,977,3195,-2218
FAC-003,みしま未来研究所,2024-10,1760,890,3178,-2288
FAC-003,みしま未来研究所,2024-11,1650,744,3148,-2404
FAC-003,みしま未来研究所,2024-12,2204,1010,3202,-2192
FAC-003,みしま未来研究所,2025-01,1680,904,3180,-2276
FAC-003,みしま未来研究所,2025-02,2381,1093,3218,-2125
FAC-003,みしま未来研究所,2025-03,2392,1262,3252,-1990
FAC-003,みしま未来研究所,2025-04,2272,1138,3227,-2089
FAC-003,みしま未来研究所,2025-05,1873,1013,3202,-2189
FAC-003,みしま未来研究所,2025-06,2389,1219,3243,-2024
FAC-003,みしま未来研究所,2025-07,1909,1003,3200,-2197
FAC-003,みしま未来研究所,2025-08,2120,1161,3232,-2071
FAC-003,みしま未来研究所,2025-09,1874,975,3195,-2220
FAC-003,みしま未来研究所,2025-10,2398,1255,3251,-1996
FAC-003,みしま未来研究所,2025-11,1906,990,3198,-2208
FAC-003,みしま未来研究所,2025-12,1926,1053,3210,-2157
FAC-003,みしま未来研究所,2026-01,2386,1128,3225,-2097
FAC-003,みしま未来研究所,2026-02,1862,896,3179,-2283
FAC-003,みしま未来研究所,2026-03,2398,1183,3236,-2053
FAC-004,LtG Startup Studio,2023-04,2057,1088,3217,-2129
FAC-004,LtG Startup Studio,2023-05,2134,1155,3231,-2076
FAC-004,LtG Startup Studio,2023-06,2302,1251,3250,-1999
FAC-004,LtG Startup Studio,2023-07,2042,1076,3215,-2139
FAC-004,LtG Startup Studio,2023-08,2100,1138,3227,-2089
FAC-004,LtG Startup Studio,2023-09,1689,843,3168,-2325
FAC-004,LtG Startup Studio,2023-10,1899,870,3174,-2304
FAC-004,LtG Startup Studio,2023-11,1893,943,3188,-2245
FAC-004,LtG Startup Studio,2023-12,1827,912,3182,-2270
FAC-004,LtG Startup Studio,2024-01,2354,1220,3244,-2024
FAC-004,LtG Startup Studio,2024-02,1968,898,3179,-2281
FAC-004,LtG Startup Studio,2024-03,2036,933,3186,-2253
FAC-004,LtG Startup Studio,2024-04,2076,960,3192,-2232
FAC-004,LtG Startup Studio,2024-05,1696,783,3156,-2373
FAC-004,LtG Startup Studio,2024-06,2058,977,3195,-2218
FAC-004,LtG Startup Studio,2024-07,2351,1196,3239,-2043
FAC-004,LtG Startup Studio,2024-08,1779,847,3169,-2322
FAC-004,LtG Startup Studio,2024-09,1942,1020,3204,-2184
FAC-004,LtG Startup Studio,2024-10,1709,865,3173,-2308
FAC-004,LtG Startup Studio,2024-11,1826,941,3188,-2247
FAC-004,LtG Startup Studio,2024-12,2380,1222,3244,-2022
FAC-004,LtG Startup Studio,2025-01,2134,1052,3210,-2158
FAC-004,LtG Startup Studio,2025-02,2038,994,3198,-2204
FAC-004,LtG Startup Studio,2025-03,2316,1273,3254,-1981
FAC-004,LtG Startup Studio,2025-04,1617,805,3161,-2356
FAC-004,LtG Startup Studio,2025-05,2388,1254,3250,-1996
FAC-004,LtG Startup Studio,2025-06,1822,856,3171,-2315
FAC-004,LtG Startup Studio,2025-07,1658,754,3150,-2396
FAC-004,LtG Startup Studio,2025-08,2091,1060,3212,-2152
FAC-004,LtG Startup Studio,2025-09,2299,1179,3235,-2056
FAC-004,LtG Startup Studio,2025-10,1684,889,3177,-2288
FAC-004,LtG Startup Studio,2025-11,2254,1038,3207,-2169
FAC-004,LtG Startup Studio,2025-12,1919,1032,3206,-2174
FAC-004,LtG Startup Studio,2026-01,2164,1061,3212,-2151
FAC-004,LtG Startup Studio,2026-02,2394,1294,3258,-1964
FAC-004,LtG Startup Studio,2026-03,2046,938,3187,-2249
