schedule_id,project_id,milestone,expected_amount_kpy,actual_amount_kpy,deposit_month,actual_deposit_date,status
CSH-00085,PRJ-0029,前払金,48329,48329.0,2023-10,2023-10-18,入金済
CSH-00086,PRJ-0029,中間金,24164,24164.0,2024-08,2024-08-22,入金済
CSH-00087,PRJ-0029,完成金,48329,48329.0,2025-09,2025-09-19,入金済
CSH-00088,PRJ-0030,前払金,466079,466079.0,2024-06,2024-06-15,入金済
CSH-00089,PRJ-0030,中間金,233039,233039.0,2024-12,2024-12-18,入金済
CSH-00090,PRJ-0030,完成金,466079,466079.0,2025-09,2025-09-11,入金済
CSH-00091,PRJ-0031,前払金,15246,15246.0,2024-01,2024-01-09,入金済
CSH-00092,PRJ-0031,中間金,7623,7623.0,2024-04,2024-05-21,入金済
CSH-00093,PRJ-0031,完成金,15246,15246.0,2024-10,2024-11-23,入金済
CSH-00094,PRJ-0032,前払金,288605,288605.0,2024-11,2024-11-15,入金済
CSH-00095,PRJ-0032,中間金,144302,144302.0,2025-10,2025-10-24,入金済
CSH-00096,PRJ-0032,完成金,288605,,2026-11,,予定
CSH-00097,PRJ-0033,前払金,313082,313082.0,2023-12,2023-12-25,入金済
CSH-00098,PRJ-0033,中間金,156541,156541.0,2024-02,2024-02-19,入金済
CSH-00099,PRJ-0033,完成金,313082,313082.0,2024-07,2024-07-24,入金済
CSH-00100,PRJ-0034,前払金,156216,156216.0,2024-10,2024-10-03,入金済
CSH-00101,PRJ-0034,中間金,78108,,2025-01,,遅延
CSH-00102,PRJ-0034,完成金,156216,156216.0,2025-06,2025-07-23,入金済
CSH-00103,PRJ-0035,前払金,347979,347979.0,2024-11,2024-11-01,入金済
CSH-00104,PRJ-0035,中間金,173989,173989.0,2025-04,2025-03-30,入金済
CSH-00105,PRJ-0035,完成金,347979,347979.0,2025-11,2025-11-05,入金済
CSH-00106,PRJ-0036,前払金,145741,145741.0,2023-11,2023-11-14,入金済
CSH-00107,PRJ-0036,中間金,72870,72870.0,2024-07,2024-08-24,入金済
CSH-00108,PRJ-0036,完成金,145741,,2025-06,,遅延
CSH-00109,PRJ-0037,前払金,138173,138173.0,2024-07,2024-07-06,入金済
CSH-00110,PRJ-0037,中間金,69086,69086.0,2025-02,2025-02-02,入金済
CSH-00111,PRJ-0037,完成金,138173,138173.0,2025-12,2025-12-02,入金済
CSH-00112,PRJ-0038,前払金,441008,441008.0,2023-07,2023-07-01,入金済
CSH-00113,PRJ-0038,中間金,220504,220504.0,2023-10,2023-10-06,入金済
CSH-00114,PRJ-0038,完成金,441008,441008.0,2024-04,2024-04-06,入金済
CSH-00115,PRJ-0039,前払金,533680,533680.0,2023-11,2023-11-10,入金済
CSH-00116,PRJ-0039,中間金,266840,266840.0,2024-04,2024-04-14,入金済
CSH-00117,PRJ-0039,完成金,533680,533680.0,2024-12,2024-12-13,入金済
CSH-00118,PRJ-0040,前払金,65445,65445.0,2024-02,2024-02-13,入金済
CSH-00119,PRJ-0040,中間金,32722,32722.0,2024-06,2024-06-16,入金済
CSH-00120,PRJ-0040,完成金,65445,65445.0,2025-01,2025-01-14,入金済
CSH-00121,PRJ-0041,前払金,459341,459341.0,2025-08,2025-08-09,入金済
CSH-00122,PRJ-0041,中間金,229670,229670.0,2026-05,2026-05-08,入金済
CSH-00123,PRJ-0041,完成金,459341,,2027-04,,予定
CSH-00124,PRJ-0042,前払金,218638,218638.0,2025-12,2025-12-01,入金済
CSH-00125,PRJ-0042,中間金,109319,109319.0,2026-03,2026-03-07,入金済
CSH-00126,PRJ-0042,完成金,218638,,2026-08,,予定
CSH-00127,PRJ-0043,前払金,29659,29659.0,2023-12,2023-12-07,入金済
CSH-00128,PRJ-0043,中間金,14829,14829.0,2024-09,2024-10-18,入金済
CSH-00129,PRJ-0043,完成金,29659,29659.0,2025-09,2025-10-08,入金済
CSH-00130,PRJ-0044,前払金,30480,30480.0,2024-06,2024-06-06,入金済
CSH-00131,PRJ-0044,中間金,15240,15240.0,2024-08,2024-08-09,入金済
CSH-00132,PRJ-0044,完成金,30480,30480.0,2024-12,2024-12-03,入金済
CSH-00133,PRJ-0045,前払金,196841,196841.0,2025-03,2025-03-03,入金済
CSH-00134,PRJ-0045,中間金,98420,98420.0,2026-01,2026-01-01,入金済
CSH-00135,PRJ-0045,完成金,196841,,2027-02,,予定
CSH-00136,PRJ-0046,前払金,545648,545648.0,2026-01,2026-01-17,入金済
CSH-00137,PRJ-0046,中間金,272824,272824.0,2026-06,2026-06-16,入金済
CSH-00138,PRJ-0046,完成金,545648,,2027-01,,予定
CSH-00139,PRJ-0047,前払金,106943,106943.0,2023-06,2023-06-26,入金済
CSH-00140,PRJ-0047,中間金,53471,53471.0,2023-08,2023-08-27,入金済
CSH-00141,PRJ-0047,完成金,106943,106943.0,2024-01,2024-01-20,入金済
CSH-00142,PRJ-0048,前払金,182373,182373.0,2023-07,2023-07-07,入金済
CSH-00143,PRJ-0048,中間金,91186,91186.0,2023-11,2023-11-14,入金済
CSH-00144,PRJ-0048,完成金,182373,182373.0,2024-06,2024-06-15,入金済
CSH-00145,PRJ-0049,前払金,373284,373284.0,2024-01,2024-01-10,入金済
CSH-00146,PRJ-0049,中間金,186642,186642.0,2024-12,2024-12-10,入金済
CSH-00147,PRJ-0049,完成金,373284,373284.0,2026-01,2026-01-12,入金済
CSH-00148,PRJ-0050,前払金,260693,260693.0,2023-11,2023-11-27,入金済
CSH-00149,PRJ-0050,中間金,130346,130346.0,2024-05,2024-05-23,入金済
CSH-00150,PRJ-0050,完成金,260693,260693.0,2025-01,2025-01-28,入金済
