record_id,project_id,category,amount_kpy,status,accrual_month,payment_due_month,input_timestamp,confirmed_timestamp,vendor_name
CST-00043,PRJ-0012,材料費,38557,確定請求,2025-07,2025-08,2025-08-03T00:00:00,2025-08-08T00:00:00,協力業者E社
CST-00044,PRJ-0092,労務費,70186,現場見込み,2024-03,2024-04,2024-03-28T00:00:00,,協力業者C社
CST-00045,PRJ-0095,材料費,49809,確定請求,2026-02,2026-03,2026-02-03T00:00:00,2026-02-08T00:00:00,協力業者A社
CST-00046,PRJ-0005,外注費,66395,口頭発注,2025-09,2025-10,2025-09-15T00:00:00,,協力業者G社
CST-00047,PRJ-0076,外注費,43090,現場見込み,2025-04,2025-05,2025-04-21T00:00:00,,協力業者O社
CST-00048,PRJ-0130,外注費,25275,現場見込み,2024-06,2024-07,2024-07-01T00:00:00,,協力業者L社
CST-00049,PRJ-0029,経費,9027,確定請求,2024-08,2024-09,2024-08-24T00:00:00,2024-08-28T00:00:00,資材メーカーE
CST-00050,PRJ-0085,材料費,10121,確定請求,2023-10,2023-11,2023-10-13T00:00:00,2023-10-14T00:00:00,資材メーカーI
CST-00051,PRJ-0053,外注費,119550,現場見込み,2024-06,2024-07,2024-06-16T00:00:00,,資材メーカーE
CST-00052,PRJ-0136,労務費,42381,確定請求,2024-11,2024-12,2024-11-30T00:00:00,2024-12-02T00:00:00,資材メーカーB
CST-00053,PRJ-0135,労務費,5824,確定請求,2025-07,2025-08,2025-07-28T00:00:00,2025-07-31T00:00:00,資材メーカーB
CST-00054,PRJ-0198,外注費,38243,確定請求,2026-02,2026-03,2026-02-21T00:00:00,2026-02-23T00:00:00,協力業者O社
CST-00055,PRJ-0114,材料費,15399,現場見込み,2025-01,2025-02,2025-02-04T00:00:00,,資材メーカーE
CST-00056,PRJ-0114,経費,17648,口頭発注,2024-10,2024-11,2024-10-21T00:00:00,,協力業者L社
CST-00057,PRJ-0178,材料費,70844,確定請求,2026-01,2026-02,2026-02-09T00:00:00,2026-02-12T00:00:00,協力業者J社
CST-00058,PRJ-0011,労務費,19033,確定請求,2025-01,2025-02,2025-01-13T00:00:00,2025-01-13T00:00:00,資材メーカーB
CST-00059,PRJ-0144,労務費,21947,確定請求,2024-12,2025-01,2024-12-25T00:00:00,2024-12-25T00:00:00,協力業者M社
CST-00060,PRJ-0079,外注費,70642,確定請求,2024-01,2024-02,2024-01-27T00:00:00,2024-01-28T00:00:00,協力業者G社
CST-00061,PRJ-0194,経費,11508,確定請求,2023-09,2023-10,2023-09-18T00:00:00,2023-09-20T00:00:00,資材メーカーE
CST-00062,PRJ-0027,外注費,104945,現場見込み,2026-03,2026-04,2026-03-03T00:00:00,,協力業者D社
CST-00063,PRJ-0120,材料費,55755,確定請求,2026-06,2026-07,2026-06-21T00:00:00,2026-06-22T00:00:00,資材メーカーD
CST-00064,PRJ-0092,外注費,126712,確定請求,2023-11,2023-12,2023-11-16T00:00:00,2023-11-21T00:00:00,協力業者M社
CST-00065,PRJ-0132,労務費,7614,現場見込み,2025-11,2025-12,2025-11-23T00:00:00,,協力業者Q社
CST-00066,PRJ-0120,経費,47883,確定請求,2026-01,2026-02,2026-01-25T00:00:00,2026-01-30T00:00:00,協力業者C社
CST-00067,PRJ-0055,外注費,24898,確定請求,2023-05,2023-06,2023-05-23T00:00:00,2023-05-26T00:00:00,協力業者N社
CST-00068,PRJ-0017,材料費,92694,現場見込み,2025-06,2025-07,2025-06-16T00:00:00,,資材メーカーH
CST-00069,PRJ-0084,外注費,35483,確定請求,2026-01,2026-02,2026-01-18T00:00:00,2026-01-21T00:00:00,協力業者N社
CST-00070,PRJ-0004,労務費,5383,確定請求,2025-07,2025-08,2025-07-08T00:00:00,2025-07-10T00:00:00,資材メーカーA
CST-00071,PRJ-0024,外注費,63590,確定請求,2025-04,2025-05,2025-04-11T00:00:00,2025-04-13T00:00:00,協力業者M社
CST-00072,PRJ-0054,外注費,26303,確定請求,2024-07,2024-08,2024-07-20T00:00:00,2024-07-23T00:00:00,資材メーカーF
CST-00073,PRJ-0002,労務費,63736,口頭発注,2026-05,2026-06,2026-05-19T00:00:00,,資材メーカーJ
CST-00074,PRJ-0186,材料費,54923,現場見込み,2024-12,2025-01,2024-12-08T00:00:00,,協力業者N社
CST-00075,PRJ-0094,外注費,1784,現場見込み,2024-02,2024-03,2024-02-17T00:00:00,,協力業者N社
CST-00076,PRJ-0114,材料費,20034,確定請求,2025-08,2025-09,2025-08-06T00:00:00,2025-08-09T00:00:00,協力業者Q社
CST-00077,PRJ-0171,経費,91207,確定請求,2024-03,2024-04,2024-03-25T00:00:00,2024-03-26T00:00:00,資材メーカーD
CST-00078,PRJ-0028,外注費,23640,確定請求,2026-03,2026-04,2026-03-25T00:00:00,2026-03-25T00:00:00,資材メーカーE
CST-00079,PRJ-0015,外注費,46600,確定請求,2024-03,2024-04,2024-03-14T00:00:00,2024-03-18T00:00:00,資材メーカーA
CST-00080,PRJ-0028,外注費,17785,確定請求,2026-05,2026-06,2026-05-12T00:00:00,2026-05-14T00:00:00,協力業者G社
CST-00081,PRJ-0024,外注費,71974,口頭発注,2026-10,2026-11,2026-10-08T00:00:00,,資材メーカーG
CST-00082,PRJ-0105,経費,28571,確定請求,2024-03,2024-04,2024-04-02T00:00:00,2024-04-04T00:00:00,協力業者D社
CST-00083,PRJ-0010,労務費,36151,確定請求,2024-08,2024-09,2024-08-13T00:00:00,2024-08-14T00:00:00,協力業者F社
CST-00084,PRJ-0101,材料費,29187,確定請求,2024-05,2024-06,2024-05-25T00:00:00,2024-05-28T00:00:00,協力業者F社
CST-00085,PRJ-0062,材料費,29417,確定請求,2026-05,2026-06,2026-05-27T00:00:00,2026-05-30T00:00:00,資材メーカーE
CST-00086,PRJ-0118,外注費,22128,現場見込み,2024-12,2025-01,2025-01-04T00:00:00,,資材メーカーJ
CST-00087,PRJ-0044,労務費,4122,確定請求,2024-10,2024-11,2024-10-25T00:00:00,2024-10-27T00:00:00,資材メーカーA
CST-00088,PRJ-0064,材料費,24722,確定請求,2024-09,2024-10,2024-09-13T00:00:00,2024-09-13T00:00:00,協力業者E社
CST-00089,PRJ-0111,材料費,76688,現場見込み,2024-10,2024-11,2024-10-07T00:00:00,,協力業者O社
CST-00090,PRJ-0171,外注費,81160,確定請求,2024-02,2024-03,2024-02-13T00:00:00,2024-02-15T00:00:00,協力業者S社
CST-00091,PRJ-0094,外注費,2650,確定請求,2024-11,2024-12,2024-11-08T00:00:00,2024-11-11T00:00:00,協力業者C社
CST-00092,PRJ-0122,労務費,53229,確定請求,2025-09,2025-10,2025-09-28T00:00:00,2025-09-30T00:00:00,協力業者B社
CST-00093,PRJ-0194,外注費,6885,確定請求,2024-02,2024-03,2024-02-15T00:00:00,2024-02-19T00:00:00,協力業者C社
CST-00094,PRJ-0062,材料費,27371,現場見込み,2026-06,2026-07,2026-06-24T00:00:00,,協力業者Q社
CST-00095,PRJ-0072,労務費,71928,現場見込み,2026-08,2026-09,2026-08-11T00:00:00,,協力業者S社
CST-00096,PRJ-0187,外注費,40539,確定請求,2026-06,2026-07,2026-06-15T00:00:00,2026-06-18T00:00:00,資材メーカーD
CST-00097,PRJ-0074,材料費,3310,口頭発注,2025-02,2025-03,2025-02-11T00:00:00,,資材メーカーA
CST-00098,PRJ-0148,労務費,34677,口頭発注,2026-11,2026-12,2026-11-20T00:00:00,,協力業者T社
CST-00099,PRJ-0136,外注費,51496,確定請求,2025-07,2025-08,2025-07-18T00:00:00,2025-07-21T00:00:00,協力業者E社
CST-00100,PRJ-0103,外注費,117604,確定請求,2023-08,2023-09,2023-08-09T00:00:00,2023-08-14T00:00:00,資材メーカーF
CST-00101,PRJ-0132,外注費,10652,現場見込み,2025-09,2025-10,2025-09-04T00:00:00,,協力業者Q社
CST-00102,PRJ-0034,外注費,44191,確定請求,2024-09,2024-10,2024-09-26T00:00:00,2024-09-29T00:00:00,協力業者H社
CST-00103,PRJ-0095,外注費,81234,確定請求,2025-10,2025-11,2025-10-22T00:00:00,2025-10-23T00:00:00,協力業者Q社
CST-00104,PRJ-0093,外注費,17109,確定請求,2023-12,2024-01,2023-12-13T00:00:00,2023-12-16T00:00:00,協力業者L社
CST-00105,PRJ-0172,外注費,66965,確定請求,2025-11,2025-12,2025-12-05T00:00:00,2025-12-10T00:00:00,資材メーカーE
CST-00106,PRJ-0043,外注費,5478,確定請求,2025-07,2025-08,2025-07-15T00:00:00,2025-07-15T00:00:00,協力業者B社
CST-00107,PRJ-0063,労務費,73609,確定請求,2024-09,2024-10,2024-10-02T00:00:00,2024-10-07T00:00:00,協力業者D社
CST-00108,PRJ-0169,労務費,53742,確定請求,2024-10,2024-11,2024-11-04T00:00:00,2024-11-09T00:00:00,協力業者J社
CST-00109,PRJ-0054,材料費,29207,確定請求,2024-06,2024-07,2024-06-20T00:00:00,2024-06-24T00:00:00,協力業者K社
CST-00110,PRJ-0134,外注費,53461,確定請求,2024-05,2024-06,2024-06-03T00:00:00,2024-06-05T00:00:00,協力業者E社
CST-00111,PRJ-0009,外注費,38188,確定請求,2023-10,2023-11,2023-11-07T00:00:00,2023-11-08T00:00:00,資材メーカーC
CST-00112,PRJ-0080,材料費,21743,確定請求,2026-02,2026-03,2026-02-27T00:00:00,2026-03-01T00:00:00,資材メーカーC
CST-00113,PRJ-0046,外注費,89732,確定請求,2026-09,2026-10,2026-10-05T00:00:00,2026-10-06T00:00:00,協力業者M社
CST-00114,PRJ-0127,労務費,26773,確定請求,2024-10,2024-11,2024-11-05T00:00:00,2024-11-05T00:00:00,資材メーカーC
CST-00115,PRJ-0135,外注費,2829,確定請求,2026-02,2026-03,2026-02-21T00:00:00,2026-02-25T00:00:00,資材メーカーB
CST-00116,PRJ-0070,外注費,19815,現場見込み,2024-09,2024-10,2024-10-02T00:00:00,,協力業者A社
CST-00117,PRJ-0077,経費,50002,確定請求,2024-06,2024-07,2024-06-24T00:00:00,2024-06-26T00:00:00,協力業者F社
CST-00118,PRJ-0138,外注費,36042,確定請求,2024-10,2024-11,2024-10-29T00:00:00,2024-10-30T00:00:00,協力業者G社
CST-00119,PRJ-0056,外注費,106461,確定請求,2025-12,2026-01,2025-12-21T00:00:00,2025-12-21T00:00:00,協力業者C社
CST-00120,PRJ-0191,外注費,22039,確定請求,2027-05,2027-06,2027-05-28T00:00:00,2027-06-02T00:00:00,資材メーカーE
CST-00121,PRJ-0199,外注費,65449,確定請求,2026-06,2026-07,2026-06-19T00:00:00,2026-06-23T00:00:00,協力業者B社
CST-00122,PRJ-0086,外注費,90501,確定請求,2023-12,2024-01,2023-12-11T00:00:00,2023-12-12T00:00:00,協力業者T社
CST-00123,PRJ-0014,労務費,37610,確定請求,2025-10,2025-11,2025-10-21T00:00:00,2025-10-22T00:00:00,協力業者F社
CST-00124,PRJ-0099,外注費,37842,確定請求,2026-02,2026-03,2026-02-25T00:00:00,2026-02-27T00:00:00,協力業者B社
CST-00125,PRJ-0137,材料費,67173,確定請求,2024-12,2025-01,2024-12-11T00:00:00,2024-12-14T00:00:00,資材メーカーD
CST-00126,PRJ-0069,外注費,67001,現場見込み,2025-03,2025-04,2025-03-29T00:00:00,,協力業者J社
CST-00127,PRJ-0094,外注費,1697,確定請求,2024-01,2024-02,2024-02-01T00:00:00,2024-02-03T00:00:00,協力業者R社
CST-00128,PRJ-0035,材料費,43675,確定請求,2025-06,2025-07,2025-06-05T00:00:00,2025-06-07T00:00:00,資材メーカーI
CST-00129,PRJ-0163,材料費,101368,確定請求,2025-05,2025-06,2025-06-05T00:00:00,2025-06-08T00:00:00,協力業者O社
CST-00130,PRJ-0032,労務費,78911,確定請求,2026-03,2026-04,2026-03-24T00:00:00,2026-03-25T00:00:00,協力業者Q社
CST-00131,PRJ-0078,労務費,31637,現場見込み,2025-04,2025-05,2025-04-12T00:00:00,,資材メーカーF
CST-00132,PRJ-0060,外注費,90749,確定請求,2023-11,2023-12,2023-11-27T00:00:00,2023-11-27T00:00:00,資材メーカーH
CST-00133,PRJ-0064,経費,31922,確定請求,2024-11,2024-12,2024-12-05T00:00:00,2024-12-09T00:00:00,資材メーカーH
CST-00134,PRJ-0057,材料費,3387,現場見込み,2025-05,2025-06,2025-06-04T00:00:00,,資材メーカーC
CST-00135,PRJ-0185,労務費,53421,口頭発注,2025-12,2026-01,2025-12-16T00:00:00,,協力業者J社
CST-00136,PRJ-0178,材料費,94627,確定請求,2026-03,2026-04,2026-03-30T00:00:00,2026-04-03T00:00:00,協力業者I社
CST-00137,PRJ-0105,外注費,31449,確定請求,2024-02,2024-03,2024-02-21T00:00:00,2024-02-21T00:00:00,資材メーカーG
CST-00138,PRJ-0042,労務費,33014,現場見込み,2026-06,2026-07,2026-07-03T00:00:00,,協力業者H社
CST-00139,PRJ-0053,外注費,96015,確定請求,2024-12,2025-01,2024-12-20T00:00:00,2024-12-23T00:00:00,資材メーカーJ
CST-00140,PRJ-0127,経費,40053,口頭発注,2023-12,2024-01,2023-12-25T00:00:00,,協力業者M社
CST-00141,PRJ-0162,外注費,45863,確定請求,2025-12,2026-01,2025-12-08T00:00:00,2025-12-08T00:00:00,協力業者H社
CST-00142,PRJ-0077,材料費,71331,確定請求,2024-08,2024-09,2024-08-27T00:00:00,2024-08-29T00:00:00,協力業者H社
CST-00143,PRJ-0187,外注費,27324,確定請求,2026-08,2026-09,2026-08-30T00:00:00,2026-08-31T00:00:00,協力業者D社
CST-00144,PRJ-0013,労務費,22270,確定請求,2024-05,2024-06,2024-05-26T00:00:00,2024-05-29T00:00:00,協力業者B社
CST-00145,PRJ-0130,労務費,29458,現場見込み,2025-12,2026-01,2026-01-01T00:00:00,,資材メーカーG
CST-00146,PRJ-0071,外注費,61779,確定請求,2024-10,2024-11,2024-10-30T00:00:00,2024-11-02T00:00:00,資材メーカーC
CST-00147,PRJ-0051,材料費,79892,口頭発注,2025-02,2025-03,2025-02-20T00:00:00,,資材メーカーI
CST-00148,PRJ-0152,材料費,42471,確定請求,2025-08,2025-09,2025-08-15T00:00:00,2025-08-16T00:00:00,協力業者I社
CST-00149,PRJ-0068,外注費,70840,確定請求,2025-10,2025-11,2025-10-16T00:00:00,2025-10-20T00:00:00,資材メーカーD
CST-00150,PRJ-0062,外注費,28755,確定請求,2025-12,2026-01,2025-12-29T00:00:00,2025-12-30T00:00:00,協力業者D社
CST-00151,PRJ-0034,経費,57853,確定請求,2024-11,2024-12,2024-11-25T00:00:00,2024-11-26T00:00:00,協力業者D社
CST-00152,PRJ-0024,材料費,59921,現場見込み,2026-02,2026-03,2026-02-26T00:00:00,,資材メーカーA
CST-00153,PRJ-0151,材料費,101147,確定請求,2024-08,2024-09,2024-08-07T00:00:00,2024-08-10T00:00:00,協力業者C社
CST-00154,PRJ-0080,外注費,22293,確定請求,2025-12,2026-01,2026-01-04T00:00:00,2026-01-08T00:00:00,協力業者A社
CST-00155,PRJ-0094,材料費,1511,確定請求,2024-02,2024-03,2024-02-08T00:00:00,2024-02-10T00:00:00,資材メーカーC
CST-00156,PRJ-0164,経費,107463,確定請求,2025-06,2025-07,2025-06-23T00:00:00,2025-06-25T00:00:00,協力業者A社
CST-00157,PRJ-0153,外注費,58367,現場見込み,2025-01,2025-02,2025-01-20T00:00:00,,協力業者S社
CST-00158,PRJ-0034,労務費,41226,確定請求,2024-10,2024-11,2024-10-27T00:00:00,2024-10-31T00:00:00,資材メーカーB
CST-00159,PRJ-0014,経費,33135,口頭発注,2026-01,2026-02,2026-01-29T00:00:00,,協力業者C社
CST-00160,PRJ-0107,材料費,64870,現場見込み,2023-10,2023-11,2023-10-17T00:00:00,,協力業者M社
CST-00161,PRJ-0189,外注費,19656,確定請求,2025-11,2025-12,2025-11-20T00:00:00,2025-11-22T00:00:00,資材メーカーA
CST-00162,PRJ-0030,外注費,59427,確定請求,2024-09,2024-10,2024-09-20T00:00:00,2024-09-22T00:00:00,資材メーカーD
CST-00163,PRJ-0003,材料費,13145,確定請求,2024-10,2024-11,2024-10-07T00:00:00,2024-10-12T00:00:00,協力業者L社
CST-00164,PRJ-0152,外注費,46759,口頭発注,2027-04,2027-05,2027-05-07T00:00:00,,協力業者D社
CST-00165,PRJ-0004,材料費,9318,確定請求,2025-07,2025-08,2025-07-20T00:00:00,2025-07-21T00:00:00,資材メーカーE
CST-00166,PRJ-0107,外注費,81825,確定請求,2023-11,2023-12,2023-11-12T00:00:00,2023-11-14T00:00:00,協力業者L社
CST-00167,PRJ-0083,外注費,77479,確定請求,2023-07,2023-08,2023-08-01T00:00:00,2023-08-06T00:00:00,資材メーカーG
CST-00168,PRJ-0005,材料費,60059,確定請求,2025-07,2025-08,2025-07-20T00:00:00,2025-07-21T00:00:00,資材メーカーA
CST-00169,PRJ-0022,材料費,56508,現場見込み,2023-11,2023-12,2023-11-20T00:00:00,,資材メーカーC
CST-00170,PRJ-0031,外注費,2799,確定請求,2023-12,2024-01,2024-01-01T00:00:00,2024-01-01T00:00:00,協力業者J社
CST-00171,PRJ-0194,外注費,9576,確定請求,2023-11,2023-12,2023-11-17T00:00:00,2023-11-19T00:00:00,資材メーカーI
CST-00172,PRJ-0037,労務費,21096,確定請求,2025-04,2025-05,2025-04-27T00:00:00,2025-05-01T00:00:00,協力業者Q社
CST-00173,PRJ-0052,外注費,95318,確定請求,2024-11,2024-12,2024-11-12T00:00:00,2024-11-17T00:00:00,協力業者I社
CST-00174,PRJ-0021,外注費,30747,確定請求,2025-06,2025-07,2025-06-10T00:00:00,2025-06-10T00:00:00,協力業者J社
CST-00175,PRJ-0115,経費,62707,確定請求,2024-08,2024-09,2024-08-25T00:00:00,2024-08-27T00:00:00,資材メーカーA
CST-00176,PRJ-0143,材料費,21012,現場見込み,2023-12,2024-01,2023-12-17T00:00:00,,資材メーカーF
CST-00177,PRJ-0062,材料費,14392,確定請求,2026-01,2026-02,2026-01-14T00:00:00,2026-01-19T00:00:00,資材メーカーI
CST-00178,PRJ-0108,労務費,59758,確定請求,2024-07,2024-08,2024-07-27T00:00:00,2024-07-29T00:00:00,資材メーカーI
CST-00179,PRJ-0044,外注費,6767,確定請求,2024-06,2024-07,2024-06-28T00:00:00,2024-06-30T00:00:00,協力業者P社
CST-00180,PRJ-0182,材料費,88266,現場見込み,2024-06,2024-07,2024-06-09T00:00:00,,協力業者Q社
CST-00181,PRJ-0036,外注費,16375,口頭発注,2024-01,2024-02,2024-01-11T00:00:00,,資材メーカーD
CST-00182,PRJ-0127,外注費,28953,確定請求,2023-12,2024-01,2024-01-08T00:00:00,2024-01-09T00:00:00,協力業者N社
CST-00183,PRJ-0016,経費,12424,口頭発注,2026-07,2026-08,2026-07-21T00:00:00,,協力業者K社
CST-00184,PRJ-0037,外注費,18188,確定請求,2024-08,2024-09,2024-09-01T00:00:00,2024-09-03T00:00:00,協力業者K社
CST-00185,PRJ-0116,外注費,55492,確定請求,2026-03,2026-04,2026-03-23T00:00:00,2026-03-24T00:00:00,協力業者T社
CST-00186,PRJ-0075,外注費,32571,確定請求,2025-12,2026-01,2025-12-23T00:00:00,2025-12-26T00:00:00,協力業者O社
CST-00187,PRJ-0148,外注費,26108,口頭発注,2026-01,2026-02,2026-02-05T00:00:00,,資材メーカーD
CST-00188,PRJ-0057,経費,2973,確定請求,2026-02,2026-03,2026-02-17T00:00:00,2026-02-22T00:00:00,協力業者N社
CST-00189,PRJ-0182,経費,69097,現場見込み,2024-06,2024-07,2024-06-03T00:00:00,,協力業者B社
CST-00190,PRJ-0051,経費,85712,確定請求,2025-09,2025-10,2025-09-20T00:00:00,2025-09-25T00:00:00,協力業者L社
CST-00191,PRJ-0137,材料費,61276,確定請求,2024-12,2025-01,2024-12-09T00:00:00,2024-12-10T00:00:00,協力業者F社
CST-00192,PRJ-0174,材料費,64940,確定請求,2024-06,2024-07,2024-07-07T00:00:00,2024-07-07T00:00:00,資材メーカーB
CST-00193,PRJ-0052,労務費,111364,確定請求,2024-08,2024-09,2024-08-18T00:00:00,2024-08-23T00:00:00,協力業者C社
CST-00194,PRJ-0153,外注費,35317,確定請求,2025-03,2025-04,2025-03-25T00:00:00,2025-03-29T00:00:00,協力業者L社
CST-00195,PRJ-0142,経費,94954,確定請求,2023-06,2023-07,2023-06-12T00:00:00,2023-06-17T00:00:00,協力業者T社
CST-00196,PRJ-0175,外注費,63039,確定請求,2025-05,2025-06,2025-05-19T00:00:00,2025-05-22T00:00:00,協力業者L社
CST-00197,PRJ-0122,外注費,48118,確定請求,2026-03,2026-04,2026-03-15T00:00:00,2026-03-16T00:00:00,協力業者C社
CST-00198,PRJ-0192,材料費,16298,確定請求,2024-05,2024-06,2024-05-17T00:00:00,2024-05-19T00:00:00,協力業者L社
CST-00199,PRJ-0082,材料費,13508,確定請求,2025-12,2026-01,2026-01-03T00:00:00,2026-01-03T00:00:00,協力業者I社
CST-00200,PRJ-0105,外注費,44922,口頭発注,2023-12,2024-01,2023-12-17T00:00:00,,資材メーカーD
CST-00201,PRJ-0097,外注費,27416,確定請求,2025-03,2025-04,2025-03-09T00:00:00,2025-03-13T00:00:00,協力業者Q社
CST-00202,PRJ-0184,労務費,29170,確定請求,2025-03,2025-04,2025-03-17T00:00:00,2025-03-22T00:00:00,協力業者I社
CST-00203,PRJ-0047,材料費,12720,確定請求,2023-09,2023-10,2023-09-23T00:00:00,2023-09-25T00:00:00,協力業者G社
CST-00204,PRJ-0109,労務費,5507,口頭発注,2025-05,2025-06,2025-05-31T00:00:00,,資材メーカーJ
CST-00205,PRJ-0110,材料費,19488,口頭発注,2025-10,2025-11,2025-10-07T00:00:00,,協力業者D社
CST-00206,PRJ-0010,材料費,26553,確定請求,2024-05,2024-06,2024-06-03T00:00:00,2024-06-08T00:00:00,協力業者O社
CST-00207,PRJ-0061,経費,52744,確定請求,2024-01,2024-02,2024-02-05T00:00:00,2024-02-10T00:00:00,協力業者C社
CST-00208,PRJ-0087,材料費,23378,現場見込み,2025-01,2025-02,2025-01-06T00:00:00,,資材メーカーC
CST-00209,PRJ-0198,外注費,32449,確定請求,2025-12,2026-01,2025-12-23T00:00:00,2025-12-25T00:00:00,協力業者R社
CST-00210,PRJ-0133,外注費,38129,確定請求,2025-06,2025-07,2025-06-17T00:00:00,2025-06-19T00:00:00,資材メーカーC
